,Agency,Asset Category,Asset,Asset Sub-Category/Components,Total,Units,Condition Criteria,Condition Criteria Percent
49,NYCT,Depot and bus maintenance facilities,Depot and bus maintenance facilities,All Rated Bus Depot/Facility Components,452,Each,Percent in Poor/Marginal Condition,0.31
50,NYCT,Station Structures and Components,Station Structures and Components,Platform Canopies,436,Each,Percent in Poor/Marginal Condition,0.08
51,NYCT,Station Structures and Components,Station Structures and Components,"Mezzanine Floors, Columns, Walls, and Ceilings","3,246",Each,Percent in Poor/Marginal Condition,0.1
52,NYCT,Station Structures and Components,Station Structures and Components,Platform Edges,"1,198",Each,Percent in Poor/Marginal Condition,0.36
53,NYCT,Station Structures and Components,Station Structures and Components,"Platform Floors, Columns, Walls, and Ceilings","3,276",Each,Percent in Poor/Marginal Condition,0.13
54,NYCT,Station Structures and Components,Station Structures and Components,Stairways,"5,502",Each,Percent in Poor/Marginal Condition,0.13
55,NYCT,Station Structures and Components,Station Structures and Components,Passive Ventilation Systems,"2,425",Each,Percent in Poor/Marginal Condition,0.39
56,NYCT,Station Structures and Components,Station Structures and Components,Windscreens (above-ground station platform fencing),214,Each,Percent in Poor/Marginal Condition,0.21
57,NYCT,Station Structures and Components,Station Structures and Components,Electrical Distribution Rooms,916,Each,Percent in Poor/Marginal Condition,0.15
58,NYCT,"Accessibility, Elevators, and Escalators","Accessibility, Elevators, and Escalators",Elevator - Hydraulic,246,Each,Percent in Poor/Marginal Condition,0.0
59,NYCT,"Accessibility, Elevators, and Escalators","Accessibility, Elevators, and Escalators",Elevator - Traction,60,Each,Percent in Poor/Marginal Condition,0.0
60,NYCT,"Accessibility, Elevators, and Escalators","Accessibility, Elevators, and Escalators",Escalator,231,Each,Percent in Poor/Marginal Condition,0.06
61,NYCT,Station Communication Systems,Station Communication Systems,Public Address/Customer Information Screens,472,Each,Percent in Poor/Marginal Condition,0.52
62,NYCT,Station Communication Systems,Station Communication Systems,Help Points,"1,886",Each,Percent in Poor/Marginal Condition,0.01
63,NYCT,Station Communication Systems,Station Communication Systems,ADA Farecard Access System,278,Each,Percent in Poor/Marginal Condition,0.0
64,NYCT,Station Communication Systems,Station Communication Systems,Fare Collection Vending Machines (transitioning to configurable vending machines and changing quantity for OMNY cards),"1,720",Each,Percent in Poor/Marginal Condition,0.0
65,NYCT,Station Communication Systems,Station Communication Systems,Fare Collection Electronic Turnstiles,"4,461",Each,Percent in Poor/Marginal Condition,0.0
66,NYCT,Station Communication Systems,Station Communication Systems,Emergency Booth Communication System,478,Each,Percent in Poor/Marginal Condition,0.0
67,NYCT,Station Communication Systems,Station Communication Systems,"NYCT Station CCTV (cameras, monitors, and recorders for emergency alarm, passenger ID, police security, platform edge, and crowd control)","11,210",Each,Percent in Poor/Marginal Condition,0.55
68,NYCT,Station Communication Systems,Station Communication Systems,SIR Station CCTV,406,Each,Percent in Poor/Marginal Condition,1.0
69,NYCT,Line structures,Line structures,Elevated,61,Miles,Percentage of Miles with High Defect Concentration,0.08
70,NYCT,Line structures,Line structures,Viaduct,9.3,Miles,Percentage of Miles with High Defect Concentration,0.58
71,NYCT,Line structures,Line structures,Open Cut,10.6,Miles,Percentage of Miles with High Defect Concentration,0.05
72,NYCT,Line structures,Line structures,Subway,155.4,Miles,Percentage of Miles with High Defect Concentration,0.29
73,NYCT,Line structures,Line structures,Embankment,15.2,Miles,Percentage of Miles with High Defect Concentration,0.02
74,NYCT,Line structures,Staten Island Railway,At-Grade,12,Miles,Percent in Poor/Marginal Condition,0.83
75,NYCT,Line structures,Staten Island Railway,Bridge,0.4,Miles,Percent in Poor/Marginal Condition,0.24
76,NYCT,Line structures,Staten Island Railway,Elevated,1.1,Miles,Percent in Poor/Marginal Condition,1.0
77,NYCT,Line structures,Staten Island Railway,Open Cut,1,Miles,Percent in Poor/Marginal Condition,0.0
78,NYCT,Line structures,Staten Island Railway,Tunnel,0.2,Miles,Percent in Poor/Marginal Condition,1.0
79,NYCT,Line structures,Staten Island Railway,Fencing,27,Miles,Percent in Poor/Marginal Condition,0.08
80,NYCT,Line structures,Elevated steel structure paint status,Elevated steel structure paint status,11.3,Miles,Percent in Poor/Marginal Condition,0.18
81,NYCT,Line structures,Elevated steel structure paint status,Elevated steel structure paint status,31.2,Miles,Percent in Good Condition,0.49
82,NYCT,Line structures,Elevated steel structure paint status,Elevated steel structure paint status,20.8,Miles,Percent Under Construction,0.33
83,NYCT,Track,Track,Mainline Revenue,665,Miles,Percent with Remaining Life Less Than 6 Years,0.11
84,NYCT,Track,Track,Non-Revenue,39,Miles,Percent with Remaining Life Less Than 6 Years,0.12
85,NYCT,Track,Track,Yard,102,Miles,Percent with Remaining Life Less Than 6 Years,0.13
86,NYCT,Track,Track,Mainline Switches,"1,770",Each,Percent with Remaining Life Less Than 6 Years,0.16
87,NYCT,Track,Track,Yard Switches,874,Each,Percent with Remaining Life Less Than 6 Years,0.11
88,NYCT,Track,Track,SIR - Mainline,29,Miles,Percent with Remaining Life Less Than 6 Years,0.07
89,NYCT,Track,Track,SIR - Non-Revenue,3,Miles,Percent with Remaining Life Less Than 6 Years,0.11
90,NYCT,Track,Track,SIR - Switches,62,Each,Percent with Remaining Life Less Than 6 Years,0.13
91,NYCT,Signals and train control,Signals and train control,Mainline Signals,763,Miles,Percent in Poor/Marginal Condition,0.24
92,NYCT,Signals and train control,Signals and train control,Mainline Interlockings,183,Each,Percent in Poor/Marginal Condition,0.23
93,NYCT,Signals and train control,Signals and train control,Yard Signals,23,Each,Percent in Poor/Marginal Condition,0.43
94,NYCT,Signals and train control,Signals and train control,Yard Interlockings,20,Each,Percent in Poor/Marginal Condition,0.3
95,NYCT,Signals and train control,Signals and train control,SIR - Signals,31,Miles,Percent in Poor/Marginal Condition,0.03
96,NYCT,Signals and train control,Signals and train control,SIR - Interlockings,14,Each,Percent in Poor/Marginal Condition,0.07
97,NYCT,Signals and train control,Signals and train control,Modernized signaling status,529,Miles,Conventional Fixed Block,0.69
98,NYCT,Signals and train control,Signals and train control,Modernized signaling status,52,Miles,Modernization complete,0.07
99,NYCT,Signals and train control,Signals and train control,Modernized signaling status,182,Miles,In Construction or to be Awarded by 2024,0.24
